Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
FARM_1032,Punjab,Patiala,Rice,Kharif,10.5,1017.1,29.3,56.7,9.4,6.92,44,123,59,51,Tube Well,192,3.3,82,4.71,50.03,18488,598314,924955,326641,6895.9,6.83,59.9
FARM_1033,Punjab,Amritsar,Cotton,Kharif,10.7,939,28.6,76.8,6.3,7,61.3,86,50,48,Drip,159,2.9,85,4.87,53.02,16176,570250,857652,287402,5729.7,8.5,56.3
FARM_1034,Tamil Nadu,Tiruchirappalli,Maize,Kharif,7.8,738.3,33.2,63.9,8,6.51,68.9,82,58,44,Rainfed,136,4.4,96,5.92,48.86,16384,563587,800522,236935,5850.4,10.12,56.2
FARM_1035,Telangana,Rangareddy,Rice,Kharif,11.2,1154.8,31.6,53.6,8.6,6.89,71.1,140,63,39,Tube Well,218,4.1,86,5.55,61.26,17625,690134,1079708,389574,6460.7,8.59,60
FARM_1036,Tamil Nadu,Thanjavur,Groundnut,Kharif,7,856.1,28.2,60.5,5.7,7.32,48.4,92,79,50,Drip,219,3.7,90,4.93,34.14,13981,357841,477311,119470,7377.5,6.68,67.1
FARM_1037,Andhra Pradesh,Kurnool,Cotton,Kharif,11,693,28.8,75,8.4,6.85,53.7,85,37,42,Drip,210,3.9,78,6.42,67.65,14117,706728,955015,248287,6452.2,9.95,51.6
FARM_1038,Tamil Nadu,Salem,Maize,Kharif,8,852.7,29.3,68.7,6.2,6.6,44.6,116,51,15,Drip,135,3.5,74,5.66,45.4,17490,493873,794046,300173,5978.5,9.47,74.9
FARM_1039,Tamil Nadu,Madurai,Cotton,Kharif,3.9,1035.2,28.8,70.9,6.5,6.61,61.8,101,44,44,Sprinkler,177,4.2,77,6.42,25.34,16058,313104,406910,93806,5872.5,10.93,62.7
FARM_1040,Andhra Pradesh,Krishna,Rice,Kharif,8.7,780.7,26.7,75.4,7.3,7.33,55.7,144,63,54,Rainfed,153,4.1,79,5.91,53.92,17417,637978,939125,301147,7329.8,8.06,51.4
FARM_1041,Haryana,Ambala,Maize,Kharif,8.2,874.8,28.7,71.2,6.7,6.94,72.6,141,46,50,Tube Well,120,3.2,84,5.74,44.89,16906,495916,758910,262994,6834.3,8.4,39.5
FARM_1042,Haryana,Karnal,Maize,Kharif,8.4,979.6,28.4,64.1,7.8,7.03,65,140,52,25,Sprinkler,203,2.5,81,5.27,45.93,18452,459350,847500,388150,5270.5,10,57.4
FARM_1043,Karnataka,Mysuru,Maize,Kharif,8.7,868,27.6,75,7.3,6.13,53.4,119,79,58,Tube Well,204,4.9,85,4.83,42.91,16322,536397,700377,163980,5498.7,8.78,50.1
FARM_1044,Haryana,Karnal,Cotton,Kharif,8.2,953.9,27.8,76.6,8.8,6.43,75.5,110,75,54,Sprinkler,171,4.1,81,6.87,56.74,15434,646326,875725,229399,6667.6,10.3,45.7
FARM_1045,Tamil Nadu,Madurai,Soybean,Kharif,5.8,763.6,28.3,74.1,6.9,7,57.4,126,77,69,Sprinkler,192,3.4,69,7.05,45.45,16566,550356,752925,202569,6414.4,10.99,41.8
FARM_1046,Karnataka,Shimoga,Maize,Kharif,6.1,780.2,28.4,66,7.1,7.21,60.5,79,67,61,Rainfed,188,4.4,88,2.91,18.16,16497,216298,299586,83288,5389.2,5.4,53.5
FARM_1047,Maharashtra,Nagpur,Maize,Kharif,5.9,807.7,27.8,71.8,6.5,6.88,50.6,136,86,34,Sprinkler,177,4.2,84,6.06,34.05,17978,368646,612151,243505,5235.9,11.57,60.8
FARM_1048,Tamil Nadu,Salem,Soybean,Kharif,7.6,811.3,27.5,73.1,9.4,7.07,54,108,45,65,Tube Well,168,3.6,85,6.53,50.19,15814,526935,793705,266770,6630.5,9.85,41.3
FARM_1049,Madhya Pradesh,Indore,Groundnut,Kharif,8.9,824.9,26.2,85,9.5,5.95,50.1,131,36,43,Sprinkler,153,3.5,78,6.06,53.8,17054,625053,917505,292452,7148.7,8.48,52.2
FARM_1050,Madhya Pradesh,Gwalior,Soybean,Kharif,8.4,998,28.3,82.7,6,6.72,69.4,129,58,46,Drip,160,4.1,78,6.27,57.82,15653,734529,905056,170527,7019,8.93,63.5
FARM_1051,Andhra Pradesh,Chittoor,Groundnut,Kharif,6.5,741.2,29.7,63.9,6.2,6.86,58.1,127,63,59,Rainfed,162,2.1,90,5.48,37.12,13645,452992,506502,53510,5722.9,9.58,44.6
FARM_1052,Uttar Pradesh,Lucknow,Soybean,Kharif,9.6,945.1,28.1,79.1,5.6,7.22,70.1,101,28,29,Drip,162,3.1,95,5.65,55.68,17303,657634,963431,305797,6021.9,9.38,58.3
FARM_1053,Maharashtra,Pune,Groundnut,Kharif,5.7,867.1,27.8,68.5,8.3,7.12,75.1,111,54,53,Drip,190,4.6,77,6.61,38.77,17546,432788,680258,247470,5856.4,11.29,35.6
FARM_1054,Punjab,Jalandhar,Soybean,Kharif,7.9,927.3,28.6,70.5,7.6,7,62.5,130,44,28,Tube Well,148,4,84,4.89,34.54,17709,380908,611669,230761,5577,8.77,69.8
FARM_1055,Gujarat,Ahmedabad,Rice,Kharif,10.1,833.7,27.2,63,6.1,6.81,52.8,115,60,35,Canal,200,4.8,78,5.31,56.67,16607,659429,941119,281690,5475.4,9.7,63.4
FARM_1056,Gujarat,Ahmedabad,Soybean,Kharif,8.5,911.2,26.6,69.6,6.5,7.26,56.6,129,74,43,Sprinkler,224,3.6,86,5.42,49.12,14556,601233,714991,113758,4566.3,11.87,45.2
FARM_1057,Tamil Nadu,Thanjavur,Maize,Kharif,6.7,996.2,28.2,65.1,6.4,7.56,62.3,82,58,68,Canal,159,4.4,78,4.51,30.49,17594,380506,536441,155935,5019.5,8.98,62.1
FARM_1058,Andhra Pradesh,Krishna,Groundnut,Kharif,6.1,629.4,27.6,68.5,8.3,6.28,45.7,108,43,52,Rainfed,156,4.1,85,5.34,31.82,16852,435554,536231,100677,7222.9,7.39,45.5
FARM_1059,Haryana,Rohtak,Rice,Kharif,7.8,801,30.5,84.4,8.1,7.1,47.5,88,73,46,Sprinkler,196,3.8,82,5,39.38,17520,464175,689938,225763,5820.3,8.59,70
FARM_1060,Punjab,Patiala,Soybean,Kharif,6.2,1063.8,27.3,59.5,7.8,7.15,45,143,48,30,Rainfed,198,2.9,87,5.42,31.98,15265,367708,488175,120467,6208.1,8.73,56.8
FARM_1061,Haryana,Karnal,Cotton,Kharif,3.9,717.7,31.9,80.1,5.7,7.07,50.1,120,61,53,Drip,213,4.3,76,5.76,23.3,15040,287897,350432,62535,6396.7,9,60.6
FARM_1062,Uttar Pradesh,Kanpur,Cotton,Kharif,8.3,907.7,30,61,7.3,7.66,67.7,138,50,58,Canal,207,5.1,88,5.76,51.87,18148,646271,941337,295066,7331.1,7.86,43.9
FARM_1063,Madhya Pradesh,Gwalior,Maize,Kharif,7.2,899,25.5,77.8,8.2,7.32,55.8,158,40,54,Sprinkler,236,3.6,68,6.12,44.15,16314,474527,720263,245736,5644.8,10.84,58.2
FARM_1064,Gujarat,Rajkot,Rice,Kharif,11.3,736.5,27.9,78.3,6.5,6.15,49.8,66,38,36,Drip,172,4.1,81,6.45,71.29,16346,757291,1165306,408015,5554.9,11.61,60.1
FARM_1065,Punjab,Amritsar,Soybean,Kharif,8.6,921.3,28.1,92.9,7,7.46,60,85,86,45,Rainfed,191,3.8,75,6.1,49.37,15922,515992,786069,270077,5719.6,10.67,44.9
FARM_1066,Karnataka,Belagavi,Cotton,Kharif,8.3,948.9,27.4,68.2,8.7,7.83,56.8,152,46,64,Rainfed,256,4,94,6.53,48.4,15464,539859,748458,208599,6170.2,10.58,58.1
FARM_1067,Madhya Pradesh,Bhopal,Rice,Kharif,7,978.7,30.8,68.5,9,7.21,54.6,135,76,53,Tube Well,165,4.3,96,5.72,40.81,17593,466294,717970,251676,5826.5,9.82,59.4
FARM_1068,Tamil Nadu,Tiruchirappalli,Groundnut,Kharif,6.1,877.5,32.8,63.4,6.6,6.31,60.3,87,37,53,Canal,153,3.4,84,5.73,33.97,14406,335024,489372,154348,6010.7,9.53,59.7
FARM_1069,Tamil Nadu,Coimbatore,Rice,Kharif,10.2,697.5,27,70.7,8,7.36,63.1,117,61,63,Drip,142,4.3,91,4.92,52.5,17408,626361,913920,287559,6539.1,7.52,62.3
FARM_1070,Madhya Pradesh,Gwalior,Soybean,Kharif,7.7,610.8,26.2,88.5,6.1,6.26,59.6,181,38,31,Rainfed,152,3.1,84,6.67,49.79,16297,576514,811428,234914,5594.1,11.92,63.5
FARM_1071,Maharashtra,Pune,Cotton,Kharif,10.2,894.9,33.6,60.3,6.9,6.8,59.7,114,59,55,Rainfed,170,4.2,81,6.32,66.62,16601,772395,1105959,333564,6147.7,10.28,67.5
FARM_1072,Uttar Pradesh,Varanasi,Groundnut,Kharif,9.4,1030.7,30.1,75.8,7.6,6.74,61.2,147,61,52,Rainfed,187,4.3,73,4.77,44.01,14704,442943,647123,204180,7508.5,6.35,57.4
FARM_1073,Maharashtra,Aurangabad,Soybean,Kharif,9.9,898.9,28.8,55.2,5.1,7.25,63.3,85,63,33,Canal,225,4.1,81,4.42,45.09,16093,496769,725633,228864,6742.6,6.56,61
FARM_1074,Tamil Nadu,Salem,Cotton,Kharif,10.9,815.1,31.5,76,7.6,6.49,57.7,125,57,43,Rainfed,141,4.6,74,6.71,69.8,17371,836725,1212496,375771,5548.5,12.09,36.2
FARM_1075,Haryana,Kurukshetra,Groundnut,Kharif,9.5,950.8,30.9,73.7,6.9,7.45,49,86,39,43,Rainfed,159,2.6,96,6.15,57.21,15327,764818,876858,112040,6891.4,8.92,57.5
FARM_1076,Telangana,Nalgonda,Maize,Kharif,5.7,643.6,29.4,69.4,7,6.54,60.5,110,45,19,Tube Well,190,4.4,69,6.31,32.85,15577,402853,511704,108851,6676.6,9.45,58.7
FARM_1077,Uttar Pradesh,Varanasi,Rice,Kharif,7.9,1073.1,26.4,59.8,8,6.55,50.8,107,61,44,Sprinkler,169,4,92,5.28,38.47,16552,426642,636755,210113,6514.2,8.11,51.4
FARM_1078,Madhya Pradesh,Gwalior,Soybean,Kharif,7.1,690.4,31.3,64.2,8.3,6,65.1,93,50,50,Tube Well,239,4.5,80,4.35,28.79,15113,324383,435103,110720,7120.7,6.11,52.9
FARM_1079,Madhya Pradesh,Gwalior,Soybean,Kharif,8.5,912.2,30.6,56.7,6.6,7.28,53.1,111,51,58,Sprinkler,206,2.9,90,5.3,43.6,17881,498755,779612,280857,4710.7,11.25,47
FARM_1080,Maharashtra,Solapur,Soybean,Kharif,8.9,627.1,29.8,56.4,8.3,6.73,52.6,119,52,42,Drip,193,4.2,82,5.42,49.68,16927,528486,840933,312447,5527.9,9.8,63.3
FARM_1081,Karnataka,Shimoga,Maize,Kharif,11,736,27.3,73,8.3,6.54,58.2,167,53,39,Drip,187,2.8,70,6.6,71.28,13879,810544,989295,178751,4955.2,13.32,58
FARM_1082,Tamil Nadu,Tiruchirappalli,Rice,Kharif,5,842.8,23.5,78.1,5.4,5.91,64.2,145,73,47,Rainfed,130,4.1,81,5.59,30.5,16267,328021,496144,168123,7149.8,7.82,60.9
FARM_1083,Haryana,Karnal,Rice,Kharif,7.2,679.3,30.2,80.7,7,7.29,54.9,129,38,56,Rainfed,154,3.2,83,4.93,34.42,17317,453654,596051,142397,4789.1,10.29,53.5
FARM_1084,Madhya Pradesh,Gwalior,Cotton,Kharif,6.4,920.5,27.3,69.2,5.6,6.36,53.5,125,57,42,Rainfed,169,3.1,80,3.99,25.54,15141,302289,386701,84412,4744.1,8.41,56.9
FARM_1085,Andhra Pradesh,Krishna,Soybean,Kharif,6.8,1001.8,31.3,60.5,7,7.18,60.1,140,80,22,Tube Well,139,3.3,76,4.88,33.48,16598,376417,555701,179284,5688.6,8.58,62.5
FARM_1086,Maharashtra,Nagpur,Maize,Kharif,9.8,805.4,30.6,74,6.9,6.43,50.3,144,66,54,Tube Well,173,4.8,85,5.65,51.72,17153,644012,887153,243141,4994,11.31,57
FARM_1087,Andhra Pradesh,Kurnool,Cotton,Kharif,10.9,821.3,25.6,69.8,6.7,5.8,60.9,148,78,53,Sprinkler,165,3.8,87,5.35,60.29,18918,653726,1140566,486840,7306.3,7.32,75.2
FARM_1088,Maharashtra,Aurangabad,Soybean,Kharif,10.8,788.3,30.8,73.1,8.3,6.71,61.8,111,61,63,Canal,185,5.4,73,5.09,56.58,14551,624522,823296,198774,6332.1,8.04,55.3
FARM_1089,Madhya Pradesh,Bhopal,Rice,Kharif,7.6,1203.9,26.2,66.4,6.2,6.17,52.6,130,61,55,Rainfed,149,4.6,85,6.67,53.08,15090,690189,800977,110788,5137.7,12.98,42.5
FARM_1090,Maharashtra,Aurangabad,Maize,Kharif,7.4,784.9,26.9,69.3,6.8,6.83,39.2,164,77,29,Rainfed,174,3.8,92,6.43,50.27,17590,609977,884249,274272,6617.9,9.72,68.6
FARM_1091,Tamil Nadu,Tiruchirappalli,Cotton,Kharif,7.5,1025,29.5,62.1,8.5,6.06,71.7,129,59,43,Canal,186,4.2,74,8.66,69.08,16810,730926,1161235,430309,6839.7,12.66,47.7
FARM_1092,Uttar Pradesh,Lucknow,Maize,Kharif,7.6,932.1,29.5,78.6,6.5,6.56,45,114,70,35,Rainfed,220,3.6,93,5.12,43.01,16923,523103,727858,204755,4795.7,10.68,53.1
FARM_1093,Haryana,Rohtak,Groundnut,Kharif,9.2,863.2,26.1,76.4,6.7,6.95,48,175,61,64,Rainfed,178,3.3,74,5.39,47.88,16022,566217,767133,200916,7211.3,7.47,47.9
FARM_1094,Madhya Pradesh,Bhopal,Groundnut,Kharif,8.2,643.6,30,60.9,8.5,6.91,60.5,179,44,53,Drip,178,3.8,80,5.48,43.18,15466,451692,667822,216130,7041.7,7.78,51.9
FARM_1095,Madhya Pradesh,Indore,Groundnut,Kharif,5.8,862.4,26.2,76.3,7,6.87,48.5,114,56,48,Canal,153,4.8,93,6.59,35.88,15052,392703,540066,147363,4663.7,14.13,41.1
FARM_1096,Punjab,Jalandhar,Rice,Kharif,8.6,735.8,27.1,75.3,5.9,6.56,66.9,60,43,42,Canal,162,4.5,74,5.25,40.31,15589,442119,628393,186274,6937.1,7.57,53.8
FARM_1097,Andhra Pradesh,Krishna,Cotton,Kharif,5.2,686.9,28.6,65.1,8.1,6.85,54.1,127,45,52,Rainfed,164,4.6,88,5.55,28.87,16043,352270,463161,110891,6351.7,8.74,48.2
FARM_1098,Madhya Pradesh,Ujjain,Groundnut,Kharif,8.9,964.3,26.3,62.2,6.8,6.59,50.5,164,65,45,Tube Well,142,3.7,76,3.86,34.41,16802,414849,578157,163308,6857.3,5.63,58.5
FARM_1099,Tamil Nadu,Tiruchirappalli,Cotton,Kharif,7.6,662.2,30.2,89.5,8.5,6.87,65,133,61,51,Sprinkler,247,4.4,83,5.3,43.69,14978,475106,654389,179283,5997.9,8.84,51.2
FARM_1100,Madhya Pradesh,Indore,Maize,Kharif,5.8,1032.3,34.2,77.3,7.6,6.04,68.3,85,47,49,Sprinkler,245,3.9,80,5.98,35.11,15839,451857,556107,104250,6794.4,8.8,58.3
FARM_1101,Maharashtra,Aurangabad,Soybean,Kharif,9.3,900.5,34.9,67.6,7.3,7.1,59.9,97,48,35,Tube Well,179,3.7,85,6.47,59.63,15873,688946,946507,257561,5037.8,12.84,51.3
FARM_1102,Andhra Pradesh,Krishna,Cotton,Kharif,8.9,776.4,29.8,74.8,6.6,6.92,65.3,149,59,45,Canal,162,2.8,71,6.51,57.61,17608,636753,1014397,377644,5633.2,11.56,60.3
FARM_1103,Haryana,Hisar,Cotton,Kharif,6.1,700.1,26.5,69.4,8.4,6.98,66.6,99,41,33,Rainfed,136,3.5,77,6.68,43.03,16706,485422,718859,233437,5470.4,12.21,49.6
FARM_1104,Gujarat,Ahmedabad,Groundnut,Kharif,7,993.1,27.4,72.3,7.8,6.13,62.2,120,70,62,Rainfed,195,3.8,78,5.66,40.69,15794,529891,642658,112767,6566.7,8.62,72.7
FARM_1105,Andhra Pradesh,Chittoor,Cotton,Kharif,6.7,768.9,25.2,69.2,6.4,6.55,55.6,139,38,50,Canal,181,4.2,77,6.62,41.74,16084,431929,671346,239417,6789,9.75,56
FARM_1106,Gujarat,Ahmedabad,Soybean,Kharif,7.3,963.1,30.3,66,6.7,6.56,52.8,102,68,61,Tube Well,144,3.4,87,6.79,54.2,16519,587890,895330,307440,4913.4,13.82,64.3
FARM_1107,Madhya Pradesh,Jabalpur,Groundnut,Kharif,8.1,815.5,26.5,72.1,7.8,6.79,51.1,120,62,32,Tube Well,224,4,85,6.54,53.43,18767,654630,1002721,348091,7092.9,9.22,51.1
FARM_1108,Madhya Pradesh,Ujjain,Rice,Kharif,8.4,953.1,29.1,67.4,7.5,8.06,62.2,125,52,46,Rainfed,202,4.3,82,6.75,55.48,16727,577596,928014,350418,6588.9,10.24,39.6
FARM_1109,Maharashtra,Nashik,Groundnut,Kharif,5.5,811.7,32.5,69.7,7.4,7.07,64,156,63,56,Tube Well,163,3.6,88,5.55,30.24,16453,396115,497539,101424,6714.2,8.27,49.2
FARM_1110,Gujarat,Junagadh,Rice,Kharif,8.2,1114.9,26.9,64.8,8.7,6.86,51.9,147,69,54,Sprinkler,224,3.5,76,4.96,40.03,15749,467106,630432,163326,5803.2,8.55,48.9
FARM_1111,Haryana,Rohtak,Cotton,Kharif,9.9,1000.5,29.3,80,7.4,6.82,44.5,109,33,64,Tube Well,213,4,87,4.42,46.84,15257,527517,714638,187121,7407.4,5.97,66
FARM_1112,Uttar Pradesh,Varanasi,Soybean,Kharif,7.4,764,32.4,75.2,8.5,6.55,38.3,111,68,39,Sprinkler,202,4.3,87,5.53,41.62,15395,455188,640740,185552,6109.2,9.05,58.2
FARM_1113,Karnataka,Raichur,Groundnut,Kharif,8.3,708,26.4,76.8,7.7,6.6,66.5,114,57,41,Canal,138,3.4,85,6.9,54.63,16575,600560,905492,304932,7095.6,9.72,51.9
FARM_1114,Gujarat,Vadodara,Maize,Kharif,7.4,818.5,27.6,64.9,8.7,7.02,61.1,87,57,46,Drip,132,3.4,78,5.21,40.43,17517,540873,708212,167339,6183,8.43,57.2
FARM_1115,Uttar Pradesh,Varanasi,Cotton,Kharif,8.3,937,30,69.8,7.1,6.66,46.8,114,67,41,Rainfed,179,3,87,6.72,51.54,17993,654926,927359,272433,6491.3,10.35,52.6
FARM_1116,Punjab,Patiala,Soybean,Kharif,11.8,679.9,28.1,65.8,5.3,7.15,48.9,100,44,45,Sprinkler,221,4.8,78,4.46,53.92,17041,587748,918851,331103,6712.8,6.64,63.1
FARM_1117,Gujarat,Surat,Maize,Kharif,6.7,776.3,28.7,69.2,9.1,5.78,58.6,102,32,46,Drip,162,3.9,77,6.08,38.4,17834,453794,684826,231032,6321,9.62,48.6
FARM_1118,Tamil Nadu,Coimbatore,Maize,Kharif,6.4,817.4,29.3,82.4,8.6,7.08,52.6,128,55,49,Sprinkler,146,5.3,79,6.14,40.38,17006,497493,686702,189209,6469.8,9.49,62.7
FARM_1119,Gujarat,Rajkot,Groundnut,Kharif,10.6,831.9,31.3,71,6.6,7.08,65.4,123,76,24,Canal,162,3.3,85,5.11,54.68,16619,601251,908727,307476,5829.1,8.77,63.6
FARM_1120,Tamil Nadu,Madurai,Groundnut,Kharif,7.4,917.2,29.3,67.7,6.8,6.8,57.3,101,42,35,Canal,203,3,83,4.8,32.38,16375,358511,530223,171712,6770.1,7.09,48.3
FARM_1121,Maharashtra,Solapur,Rice,Kharif,9,594.6,28.5,80,7.3,6.88,65.5,83,48,46,Drip,207,4.8,84,4.35,40.51,16743,487306,678259,190953,7020.7,6.2,56.3
FARM_1122,Maharashtra,Pune,Soybean,Kharif,10.4,755.4,32.4,66,8,6.56,45.9,156,59,38,Canal,223,3.8,82,4.6,48.29,15493,587300,748157,160857,5241.4,8.78,50
FARM_1123,Punjab,Patiala,Cotton,Kharif,7.9,758.2,29.3,72,5.9,6.32,65.3,128,38,39,Sprinkler,151,3.9,84,6.19,51.5,15463,585348,796345,210997,6008.7,10.3,47.5
